#          k/h    axion          baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_axion        v_b            v_b-v_a     
   0.424166E-02   0.232200E+06   0.230734E+06   0.138504E+06   0.127712E+06   0.000000E+00   0.231959E+06   0.231959E+06   0.235962E+06   0.562961E+00   0.230909E+06   0.230559E+06   0.149347E+03
   0.468324E-02   0.230185E+06   0.228406E+06   0.113588E+06   0.103294E+06   0.000000E+00   0.229893E+06   0.229893E+06   0.233158E+06   0.555594E+00   0.228816E+06   0.228394E+06   0.163003E+03
   0.517080E-02   0.227832E+06   0.225676E+06   0.886632E+05   0.795613E+05   0.000000E+00   0.227478E+06   0.227478E+06   0.230014E+06   0.547286E+00   0.226356E+06   0.225849E+06   0.177554E+03
   0.570911E-02   0.225106E+06   0.222495E+06   0.650403E+05   0.578500E+05   0.000000E+00   0.224677E+06   0.224677E+06   0.226531E+06   0.538042E+00   0.223486E+06   0.222877E+06   0.192978E+03
   0.630346E-02   0.221974E+06   0.218816E+06   0.442416E+05   0.395381E+05   0.000000E+00   0.221455E+06   0.221455E+06   0.222718E+06   0.527901E+00   0.220167E+06   0.219439E+06   0.209236E+03
   0.695969E-02   0.218410E+06   0.214598E+06   0.277671E+05   0.257359E+05   0.000000E+00   0.217784E+06   0.217784E+06   0.218588E+06   0.516934E+00   0.216370E+06   0.215500E+06   0.226277E+03
   0.768423E-02   0.214397E+06   0.209804E+06   0.167089E+05   0.168889E+05   0.000000E+00   0.213642E+06   0.213642E+06   0.214143E+06   0.505226E+00   0.212073E+06   0.211037E+06   0.244036E+03
   0.848420E-02   0.209924E+06   0.204402E+06   0.112704E+05   0.124316E+05   0.000000E+00   0.209017E+06   0.209017E+06   0.209367E+06   0.492845E+00   0.207274E+06   0.206044E+06   0.262437E+03
   0.936746E-02   0.204990E+06   0.198367E+06   0.103752E+05   0.107482E+05   0.000000E+00   0.203901E+06   0.203901E+06   0.204216E+06   0.479805E+00   0.201981E+06   0.200525E+06   0.281380E+03
   0.103427E-01   0.199594E+06   0.191678E+06   0.116830E+05   0.970485E+04   0.000000E+00   0.198294E+06   0.198294E+06   0.198618E+06   0.466034E+00   0.196216E+06   0.194498E+06   0.300727E+03
   0.114194E-01   0.193740E+06   0.184312E+06   0.123442E+05   0.776085E+04   0.000000E+00   0.192191E+06   0.192191E+06   0.192504E+06   0.451378E+00   0.190002E+06   0.187981E+06   0.320257E+03
   0.126082E-01   0.187426E+06   0.176246E+06   0.104770E+05   0.503901E+04   0.000000E+00   0.185588E+06   0.185588E+06   0.185835E+06   0.435655E+00   0.183350E+06   0.180985E+06   0.339627E+03
   0.139208E-01   0.180645E+06   0.167457E+06   0.655468E+04   0.317884E+04   0.000000E+00   0.178478E+06   0.178478E+06   0.178632E+06   0.418737E+00   0.176258E+06   0.173502E+06   0.358324E+03
   0.153701E-01   0.173394E+06   0.157935E+06   0.317386E+04   0.339384E+04   0.000000E+00   0.170853E+06   0.170853E+06   0.170951E+06   0.400615E+00   0.168706E+06   0.165517E+06   0.375649E+03
   0.169702E-01   0.165876E+06   0.147891E+06   0.244924E+04   0.345237E+04   0.000000E+00   0.162920E+06   0.162920E+06   0.163005E+06   0.381833E+00   0.160982E+06   0.157319E+06   0.390741E+03
   0.187369E-01   0.157749E+06   0.137016E+06   0.325587E+04   0.268391E+04   0.000000E+00   0.154342E+06   0.154342E+06   0.154432E+06   0.361599E+00   0.152520E+06   0.148354E+06   0.402528E+03
   0.206875E-01   0.149197E+06   0.125561E+06   0.279022E+04   0.207316E+04   0.000000E+00   0.145313E+06   0.145313E+06   0.145388E+06   0.340369E+00   0.143636E+06   0.138953E+06   0.409796E+03
   0.228412E-01   0.140113E+06   0.113528E+06   0.126933E+04   0.159035E+04   0.000000E+00   0.135744E+06   0.135744E+06   0.135786E+06   0.317876E+00   0.134183E+06   0.128996E+06   0.411117E+03
   0.252191E-01   0.130838E+06   0.101429E+06   0.108051E+04   0.120999E+04   0.000000E+00   0.126005E+06   0.126005E+06   0.126039E+06   0.295000E+00   0.124642E+06   0.119000E+06   0.404983E+03
   0.278445E-01   0.121453E+06   0.895719E+05   0.119749E+04   0.913902E+03   0.000000E+00   0.116213E+06   0.116213E+06   0.116246E+06   0.272036E+00   0.115062E+06   0.109064E+06   0.389963E+03
   0.307433E-01   0.111927E+06   0.782175E+05   0.514287E+03   0.685673E+03   0.000000E+00   0.106387E+06   0.106387E+06   0.106405E+06   0.248999E+00   0.105411E+06   0.992133E+05   0.364940E+03
   0.339439E-01   0.102479E+06   0.679136E+05   0.627540E+03   0.511279E+03   0.000000E+00   0.967987E+05   0.967987E+05   0.968161E+05   0.226528E+00   0.959641E+05   0.897868E+05   0.329447E+03
