# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 203.102 h/Mpc,
# number of wavenumbers equal to 845
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_dmeff                5:d_fld                  6:d_ur                   7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_dmeff               13:t_fld                 14:t_ur                  15:t_tot              
       2.950028711498e-02      -1.111518428599e+00      -3.586433586141e+01      -4.994447335332e+01       0.000000000000e+00      -1.022767272207e+00      -4.628139227122e+01       2.585579606514e-01       2.585766363059e-01      -8.738430150844e-04       5.581192821773e-02       5.912392961210e-02                      nan       8.127551591829e-04       5.633066620774e-02 
       2.963980940692e-02      -1.100655822351e+00      -3.596556480164e+01      -5.021529161485e+01       0.000000000000e+00      -1.025663118855e+00      -4.651714827786e+01       2.574606304851e-01       2.574806529970e-01      -8.059812577359e-04       5.608564858878e-02       5.943380896229e-02                      nan       8.326037238000e-04       5.662481731427e-02 
       2.977968674934e-02      -1.090397287568e+00      -3.606622477507e+01      -5.048630184997e+01       0.000000000000e+00      -1.028662443654e+00      -4.675298084536e+01       2.563667300100e-01       2.563879612023e-01      -7.174954552530e-04       5.635938593530e-02       5.974377565736e-02                      nan       8.373654991454e-04       5.691927198350e-02 
       2.991992801888e-02      -1.080892675586e+00      -3.616636704121e+01      -5.075751935645e+01       0.000000000000e+00      -1.031637565433e+00      -4.698891162195e+01       2.552762660228e-01       2.552985592656e-01      -6.092341539881e-04       5.663317810518e-02       6.005385347885e-02                      nan       8.268076071725e-04       5.721403246793e-02 
       3.006054235642e-02      -1.072283054243e+00      -3.626603381127e+01      -5.102896406438e+01       0.000000000000e+00      -1.034460570192e+00      -4.722496441760e+01       2.541892579254e-01       2.542124603982e-01      -4.823806564781e-04       5.690706155926e-02       6.036407136585e-02                      nan       8.009752420761e-04       5.750910172136e-02 
       3.020153917674e-02      -1.064699507293e+00      -3.636517749263e+01      -5.130063346828e+01       0.000000000000e+00      -1.037004716110e+00      -4.746113034956e+01       2.531055336034e-01       2.531294877070e-01      -3.383698066808e-04       5.718101268395e-02       6.067441735844e-02                      nan       7.601473608653e-04       5.780443829602e-02 
       3.034292817872e-02      -1.058259677674e+00      -3.646392954901e+01      -5.157256797374e+01       0.000000000000e+00      -1.039149000773e+00      -4.769746376540e+01       2.520252725575e-01       2.520498183774e-01      -1.789774125325e-04       5.745512479797e-02       6.098495756055e-02                      nan       7.049131614790e-04       5.810007910086e-02 
       3.048471935591e-02      -1.053066369995e+00      -3.656224661269e+01      -5.184476792227e+01       0.000000000000e+00      -1.040777460013e+00      -4.793395840980e+01       2.509483121398e-01       2.509732890568e-01      -6.209114696692e-06       5.772937926170e-02       6.129568442053e-02                      nan       6.360999928926e-04       5.839598267164e-02 
       3.062692300766e-02      -1.049205125619e+00      -3.666023007139e+01      -5.211726503526e+01       0.000000000000e+00      -1.041784112932e+00      -4.817065641203e+01       2.498747492016e-01       2.498999972443e-01       1.776812176410e-04       5.800384884136e-02       6.160664858151e-02                      nan       5.547967153066e-04       5.869216723939e-02 
       3.076954975073e-02      -1.046745433999e+00      -3.675781783391e+01      -5.239005631113e+01       0.000000000000e+00      -1.042070985320e+00      -4.840754545850e+01       2.488043794283e-01       2.488297409799e-01       3.702352508353e-04       5.827850269322e-02       6.191783531055e-02                      nan       4.623052831667e-04       5.898858082737e-02 
       3.091261053153e-02      -1.045734780488e+00      -3.685512780777e+01      -5.266318072590e+01       0.000000000000e+00      -1.041555368326e+00      -4.864467582491e+01       2.477373375666e-01       2.477626578914e-01       5.687856621303e-04       5.855342734196e-02       6.222930674794e-02                      nan       3.601695526610e-04       5.928525084967e-02 
       3.105611663883e-02      -1.046202951085e+00      -3.695212353686e+01      -5.293664118583e+01       0.000000000000e+00      -1.040164751601e+00      -4.888204370365e+01       2.466734593065e-01       2.466985896572e-01       7.705375341278e-04       5.882860917901e-02       6.254105882944e-02                      nan       2.500778882265e-04       5.958213507598e-02 
       3.120007971717e-02      -1.048155773463e+00      -3.704887956776e+01      -5.321046795788e+01       0.000000000000e+00      -1.037844506266e+00      -4.911968500322e+01       2.456127880351e-01       2.456375877385e-01       9.725539356475e-04       5.910410709987e-02       6.285313664387e-02                      nan       1.339354704943e-04       5.987924240030e-02 
       3.134451178094e-02      -1.051578990215e+00      -3.714546521116e+01      -5.348468735277e+01       0.000000000000e+00      -1.034554852279e+00      -4.935763141814e+01       2.445553368791e-01       2.445796735325e-01       1.171830430288e-03       5.937997505641e-02       6.316557941550e-02                      nan       1.377630984621e-05       6.017657670780e-02 
